Tax Year,Tax code,Agency,Agency Name,Agency Rate,Tax code Rate,Assessment District,Taxing Body Count,Assessment Ratio,Cook County Equalization Factor,Effective Property Tax Rate,Tax Rate Proportion,ETR Share
2007,27010,43020000,Triton Community College District 504,0.224,9.242,Oak Park,17,8.4,2.8439,2.207799199,0.024237178,0.053510822
2007,27010,42020000,Consolidated High School 200,2.848,9.242,Oak Park,17,8.4,2.8439,2.207799199,0.308158407,0.680351885
2007,27010,40580000,School District 97,3.059,9.242,Oak Park,17,8.4,2.8439,2.207799199,0.330988963,0.730757168
2007,27010,30920502,TIF Village of Oak Park-Madison St Business Cord,0,9.242,Oak Park,17,8.4,2.8439,2.207799199,0,0
2007,27010,30920103,Village of Oak Park Special Service Area 4,0,9.242,Oak Park,17,8.4,2.8439,2.207799199,0,0
2007,27010,990020000,Suburban Tuberculosis Sanitarium,0,9.242,Oak Park,17,8.4,2.8439,2.207799199,0,0
2007,27009,10010001,Consolidated Elections,0.012,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.00129842,0.002866651
2007,27009,10010000,Cook County,0.446,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.048257953,0.10654387
2007,27008,990020000,Suburban Tuberculosis Sanitarium,0,9.242,Oak Park,16,8.4,2.8439,2.207799199,0,0
2007,27007,30920103,Village of Oak Park Special Service Area 4,0,9.242,Oak Park,16,8.4,2.8439,2.207799199,0,0
2007,27007,30920001,Village of Oak Park Library Fund,0.51,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.055182861,0.121832676
2007,27007,30920000,Village of Oak Park,1.13,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.122267907,0.269942988
2007,27007,20180004,Oak Park Mental Health District,0.084,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.009088942,0.020066558
2007,27007,20180002,General Assistance Oak Park,0.03,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.003246051,0.007166628
2007,27007,20180000,Town Oak Park,0.124,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.013417009,0.029622062
2007,27007,10020000,Forest Preserve District of Cook County,0.053,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.005734689,0.012661043
2007,27007,10010001,Consolidated Elections,0.012,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.00129842,0.002866651
2007,27007,40580000,School District 97,3.059,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.330988963,0.730757168
2007,27007,10010000,Cook County,0.446,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.048257953,0.10654387
2007,27006,90010000,Des Plaines Valley Mosquito Abatement Dist,0.012,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.00129842,0.002866651
2007,27006,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.263,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.028457044,0.062827439
2007,27006,50760000,Oak Park Park District,0.447,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.048366155,0.106782757
2007,27006,43020000,Triton Community College District 504,0.224,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.024237178,0.053510822
2007,27006,42020000,Consolidated High School 200,2.848,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.308158407,0.680351885
2007,27006,40580000,School District 97,3.059,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.330988963,0.730757168
2007,27006,30920102,Village of Oak Park Special Service Area 3,0,9.242,Oak Park,16,8.4,2.8439,2.207799199,0,0
2007,27006,30920001,Village of Oak Park Library Fund,0.51,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.055182861,0.121832676
